Location 1,Location 2,Distance_in_KM
Arugam Bay,Nuwara Eliya,183
Arugam Bay,Kandy,215
Arugam Bay,Kataragama,137
Arugam Bay,Anuradhapura,297
Arugam Bay,Polonnaruwa,211
Arugam Bay,Sigiriya,243
Arugam Bay,Trincomalee,249
Arugam Bay,Jaffna,478
Arugam Bay,Kalpitiya,406
Arugam Bay,Passikudah,147
Arugam Bay,Bentota,334
Arugam Bay,Haputale,150
Arugam Bay,Matara,251
Arugam Bay,Puttalam,361
Arugam Bay,Weligama,258
Arugam Bay,Badulla,132
Arugam Bay,Hambantota,182
Arugam Bay,Diyatalawa,154
Arugam Bay,Negombo,418
Arugam Bay,Ella,133
Arugam Bay,Hikkaduwa,301
Arugam Bay,Galle,279
Arugam Bay,Bandarawela,143
Arugam Bay,Ratnapura,249
Arugam Bay,Knuckles,214
Arugam Bay,Kitulgala,275
Arugam Bay,Tangalle,220
Arugam Bay,Maskeliya,242
Arugam Bay,Mannar,399
Arugam Bay,Mirissa,256
Arugam Bay,Pottuvil,6.1
Arugam Bay,Mullaitivu,367
Arugam Bay,Dambulla,234
Arugam Bay,Avissawella,289
Arugam Bay,Kalutara,345
Arugam Bay,Deniyaya,230
Arugam Bay,Monaragala,71.9
Arugam Bay,Tissamaharama,155
Arugam Bay,Sella Kataragama,132
Arugam Bay,Colombo,393
Arugam Bay,Gampaha,399
Arugam Bay,Dodanduwa,303
Arugam Bay,Horton Plains,179
Arugam Bay,Sinharaja,243
Arugam Bay,Chilaw,329
Arugam Bay,Matale,254
Arugam Bay,Kurunegala,256
Arugam Bay,Ambalangoda,312
Nuwara Eliya,Kandy,95.5
Nuwara Eliya,Kataragama,142
Nuwara Eliya,Anuradhapura,247
Nuwara Eliya,Polonnaruwa,185
Nuwara Eliya,Sigiriya,193
Nuwara Eliya,Trincomalee,289
Nuwara Eliya,Jaffna,427
Nuwara Eliya,Kalpitiya,262
Nuwara Eliya,Passikudah,202
Nuwara Eliya,Bentota,208
Nuwara Eliya,Haputale,47.1
Nuwara Eliya,Matara,223
Nuwara Eliya,Puttalam,224
Nuwara Eliya,Weligama,230
Nuwara Eliya,Badulla,51.7
Nuwara Eliya,Hambantota,159
Nuwara Eliya,Diyatalawa,43.7
Nuwara Eliya,Negombo,169
Nuwara Eliya,Ella,56
Nuwara Eliya,Hikkaduwa,273
Nuwara Eliya,Galle,251
Nuwara Eliya,Bandarawela,43.9
Nuwara Eliya,Ratnapura,138
Nuwara Eliya,Knuckles,116
