area,restaurant,ratings,google_map_link
Arugam Bay,The Sketch,4.8(526),https://tinyurl.com/2cwdckbo
Arugam Bay,Serendib Arugambay,4.5(464),https://tinyurl.com/248ftwy3
Arugam Bay,Regal burgers restaurant arugambay,4.8(298),https://tinyurl.com/26vlfumv
Arugam Bay,Chopstick chill Restaurant,4.7(203),https://tinyurl.com/28t37rrn
Arugam Bay,The Spice Trail,4.6(251),https://tinyurl.com/26nrjuqp
Arugam Bay,468 Cabanas & Restaurant - Arugambay,4.8(27),https://tinyurl.com/22xokl2n
Arugam Bay,Neptune's Best Restaurants Arugambay,4.8(431),https://tinyurl.com/27y7cy4s
Arugam Bay,Tasty Table,4.9(92),https://tinyurl.com/25tge5h6
Arugam Bay,Wave Hunters Hostel & Restaurant,5.0(24),https://tinyurl.com/29m86oe9
Arugam Bay,Moon Garden Restaurant Arugam Bay,4.9(437),https://tinyurl.com/27qhy7jf
Arugam Bay,FUCHSBAU ARUGAM BAY,4.9(190),https://tinyurl.com/29pmczy5
Arugam Bay,Riva del Sole Abay Restaurant & Accomodation,4.9(62),https://tinyurl.com/26lq3bvq
Arugam Bay,Dinner Table Arugambay,4.7(184),https://tinyurl.com/24d6hase
Arugam Bay,Rustic Cabanas & Restaurant,4.8(38),https://tinyurl.com/2cudve8g
Arugam Bay,Flo Restaurant,4.7(129),https://tinyurl.com/27m7znrk
Arugam Bay,Food Time Restaurants Arugam Bay,4.6(285),https://tinyurl.com/25cpmwj9
Arugam Bay,Grandgers,5.0(228),https://tinyurl.com/22qy9rha
Arugam Bay,Le Onde Italian Restaurant,4.8(112),https://tinyurl.com/26obwfdn
Arugam Bay,Buffet Arugambay,4.7(62),https://tinyurl.com/2a7tjonc
Arugam Bay,Dewa Seafood Restaurant & Cafe,4.5(101),https://tinyurl.com/2c66lcx3
Nuwara Eliya,Themparadu,"4.6(1,474)",https://tinyurl.com/2dl3zuu9
Nuwara Eliya,Indian Summer Restaurant Nuwara Eliya,"4.1(2,014)",https://tinyurl.com/27868bso
Nuwara Eliya,Dushan's Home Kitchen,4.7(966),https://tinyurl.com/26rfz4f7
Nuwara Eliya,Cafe Noshers,"4.9(1,031)",https://tinyurl.com/22bwwfze
Nuwara Eliya,Grand Indian,"4.4(2,705)",https://tinyurl.com/247o4wd8
Nuwara Eliya,Salmiya Italian Restaurant,"4.6(1,116)",https://tinyurl.com/274p2z8s
Nuwara Eliya,The Magnolia,4.1(105),https://tinyurl.com/29ypmkb4
Nuwara Eliya,Araliya Food Court,"4.0(1,756)",https://tinyurl.com/2yfdrpbw
Nuwara Eliya,Mariners' Restaurant,4.2(260),https://tinyurl.com/22gnjrcp
Nuwara Eliya,De Silva Food Center Nuwaraeliya.,"3.7(1,120)",https://tinyurl.com/29uumff3
Nuwara Eliya,Restaurant GURU,4.2(185),https://tinyurl.com/2d584f4b
Nuwara Eliya,Milano Restaurant,"3.6(1,563)",https://tinyurl.com/26nk7fps
Nuwara Eliya,Lawson bay restaurant,4.4(78),https://tinyurl.com/2yhwnsqt
Nuwara Eliya,Restaurant sky Cafè,5.0(25),https://tinyurl.com/297pohcu
Nuwara Eliya,Eleven 2 Eleven Restaurant (Ashley Hills) - Nuwara Eliya,4.4(142),https://tinyurl.com/2266wwht
Nuwara Eliya,The Grand Café,"4.4(1,172)",https://tinyurl.com/28746ofs
Nuwara Eliya,Cool Feel Rest Hotel & Restaurant,4.2(77),https://tinyurl.com/29bs4k3h
Nuwara Eliya,Barnes Hall,4.2(20),https://tinyurl.com/232bwrls
Nuwara Eliya,Grand Dewasiri Seafood Restaurant & Cottage,3.8(342),https://tinyurl.com/25s3etpk
Nuwara Eliya,Hela Bojun Hala,4.3(961),https://tinyurl.com/29awrtvz
Kandy,Hideout Lounge,"4.5(2,120)",https://tinyurl.com/27s5dmmr
Kandy,Organica Lounge Kandy,"4.8(1,028)",https://tinyurl.com/29rapx4h
Kandy,Fab Ceylon,"4.3(3,047)",https://tinyurl.com/2ya3atof
Kandy,Buono,"4.6(1,211)",https://tinyurl.com/28et5r54
Kandy,Hangout Late night Kandy,4.7(286),https://tinyurl.com/23wdk58b
Kandy,කුඹුක (Kumbuka) Restaurant Kandy,4.5(230),https://tinyurl.com/25ee2eml
Kandy,MANDIYA,4.9(291),https://tinyurl.com/2awtwzu5
Kandy,CAFE 1886,"4.3(1,282)",https://tinyurl.com/26ksjnk8
Kandy,Licensed to Grill by DI's,4.2(572),https://tinyurl.com/24ertpvq
Kandy,MARINATE,4.6(303),https://tinyurl.com/26aj29qk
Kandy,Scooby's Hideaway,4.7(338),https://tinyurl.com/28dqqmvu
Kandy,Hungry Brunch Café & Restaurant,4.8(561),https://tinyurl.com/26z2l643
Kandy,Soul Food,"4.7(1,333)",https://tinyurl.com/23spbuk7
Kandy,Balaji Dosai,"4.1(3,625)",https://tinyurl.com/2ccwqyx9
Kandy,Cafe The Vibe,"4.2(1,813)",https://tinyurl.com/284czwa8
Kandy,Cafe Nuwara,"4.6(3,272)",https://tinyurl.com/2ax3og52
Kandy,"Slightly Chilled Lounge, Sports Bar & Restaurant","4.2(2,092)",https://tinyurl.com/2awmu4su
Kandy,Indi’s joint,4.8(590),https://tinyurl.com/2d5nk2hc
Kandy,Vito Wood Fired Pizza,"4.6(2,804)",https://tinyurl.com/2dfzwl8h
Kandy,La Mulberry,4.3(258),https://tinyurl.com/27b7k2nm
Kataragama,"SMOOTHIEBUN - Healthy Vegetarian Restaurant, Kataragama",4.9(511),https://tinyurl.com/2cuf96jy
Kataragama,The Chill Restaurant,3.8(176),https://tinyurl.com/2breuo8a
Kataragama,Ran Mall Villa,4.8(40),https://tinyurl.com/2222cvkn
Kataragama,Nishadi Hotel and Chinese Restaurant,4.1(135),https://tinyurl.com/2d6y772o
Kataragama,Wild Edge Restaurant & Cafe,4.8(50),https://tinyurl.com/2boxoule
Kataragama,Rest at Kataragama,4.3(6),https://tinyurl.com/2a2q5a43
Kataragama,Ruhunu Bakery & Hotel,4.2(386),https://tinyurl.com/29dgh26t
Kataragama,Real taste restaurant,3.7(22),https://tinyurl.com/269k7t4h
Kataragama,The Flavors Restaurant,"4.9(1,014)",https://tinyurl.com/242o88b3
Kataragama,Shiva Vegetarian Hotel,4.1(197),https://tinyurl.com/22ae8z35
Kataragama,Kadirapura Hotel & Restaurant,4.8(16),https://tinyurl.com/22h9k59u
Kataragama,Dinaka Rest Kataragama,4.0(84),https://tinyurl.com/282ph9he
Kataragama,Siriliya Rest,3.5(70),https://tinyurl.com/26f64v3r
Kataragama,The Plummy Dale Restaurant,4.2(120),https://tinyurl.com/23b9spyf
Kataragama,Livinya Holiday Resort,4.3(372),https://tinyurl.com/2bgsd7sl
Kataragama,Minipura Hotel,5.0(1),https://tinyurl.com/2bd3x7o2
Kataragama,Gedara Bath Kade,3.7(178),https://tinyurl.com/285pz8yr
Kataragama,Matara Family Restaurant,3.5(12),https://tinyurl.com/2bnchlhn
Kataragama,Saubhagya,3.9(7),https://tinyurl.com/23o599ax
Kataragama,Grand Tamarind Lake,4.3(900),https://tinyurl.com/22q9nxt3
Anuradhapura,Seedevi Family Restaurant,"4.0(2,810)",https://tinyurl.com/23dju2n2
Anuradhapura,Little Paradise Restaurant Anuradhapura,4.6(405),https://tinyurl.com/2xh76pv6
Anuradhapura,Gemi Gedara Restaurant Anuradhapura,3.9(659),https://tinyurl.com/259w9slk
Anuradhapura,Palhena Restaurant,4.5(575),https://tinyurl.com/22n7tnjl
Anuradhapura,Rasa Gedara ( The House Of Taste ),4.4(477),https://tinyurl.com/22u38aqd
Anuradhapura,Bro Restaurant,4.7(949),https://tinyurl.com/26qnbzcs
Anuradhapura,Ambula Restaurant Anuradhapura ඇඹුල අනුරාධපුර,"4.0(1,203)",https://tinyurl.com/28woygya
