Area,Month,Season,Description
Arugam Bay,January,Wet,"This month experiences significant rainfall, averaging 120mm over approximately 19 days. Travel is not recommended due to frequent showers."
Arugam Bay,February,Wet,"Rainfall decreases to 100mm over about 11 days, but the weather remains relatively wet. Travel is not recommended as conditions are still rainy."
Arugam Bay,March,Dry,"Marking the start of the dry season, March sees reduced rainfall of 77mm over 10 days. Travel is recommended for outdoor activities."
Arugam Bay,April,Dry,"With 98mm of rainfall over 13 days, April provides warm temperatures and ample sunshine. Travel is recommended for beach outings and surfing."
Arugam Bay,May,Dry,"Rainfall further decreases to 51mm over 7 days. Travel is highly recommended, especially for water sports enthusiasts."
Arugam Bay,June,Dry,"June is the driest month, recording only 23mm of rainfall over 4 days. Travel is highly recommended for clear skies and sunny beaches."
Arugam Bay,July,Dry,"Maintaining favorable conditions, July experiences 23mm of rainfall over 5 days. Travel is highly recommended to enjoy local attractions."
Arugam Bay,August,Dry,"Slightly increased rainfall at 26mm over 5 days, but overall, August remains a great month. Travel is highly recommended."
Arugam Bay,September,Wet,"The onset of the wet season brings 35mm of rainfall over 6 days. While some days are rainy, travel is moderately recommended for sightseeing."
Arugam Bay,October,Wet,Rainfall rises sharply to 172mm over 15 days. Travel is not recommended due to frequent heavy rains.
Arugam Bay,November,Wet,"With 274mm of rainfall over 18 days, November is one of the wettest months. Travel is not recommended due to heavy rains."
Arugam Bay,December,Wet,December continues the trend with 285mm of rainfall over 16 days. Travel is not recommended as heavy rains disrupt outdoor activities.
Nuwara Eliya,January,Dry,"January is the driest month, with approximately 85mm of rainfall over 18 days. Travel is recommended due to pleasant weather conditions."
Nuwara Eliya,February,Dry,"Rainfall decreases to about 100mm over 11 days, with average temperatures ranging from 26°C to 16.2°C. Travel is recommended as conditions are favorable for outdoor activities."
Nuwara Eliya,March,Dry,March sees reduced rainfall of approximately 77mm over 10 days. Travel is recommended for sightseeing and exploring the region.
Nuwara Eliya,April,Wet,"April experiences increased rainfall, averaging 245mm over 16 days. Travel is moderately recommended, but be prepared for frequent showers."
Nuwara Eliya,May,Wet,May continues the wet season with approximately 217mm of rainfall over 21 days. Travel is not recommended due to high humidity and frequent rains.
Nuwara Eliya,June,Wet,June sees about 179mm of rainfall over 19 days. Travel is not recommended as the weather remains relatively wet.
Nuwara Eliya,July,Wet,July experiences approximately 186mm of rainfall over 20 days. Travel is not recommended due to persistent rainfall.
Nuwara Eliya,August,Wet,August has about 193mm of rainfall over 20 days. Travel is not recommended as conditions remain damp.
Nuwara Eliya,September,Wet,September sees approximately 232mm of rainfall over 19 days. Travel is not recommended due to increased rainfall.
Nuwara Eliya,October,Wet,"October is the wettest month, with about 374mm of rainfall over 20 days. Travel is not recommended due to heavy rainfall."
Nuwara Eliya,November,Wet,November experiences approximately 331mm of rainfall over 18 days. Travel is not recommended due to frequent showers.
Nuwara Eliya,December,Wet,"December sees about 235mm of rainfall over 15 days. Travel is moderately recommended, but be prepared for occasional rain."
Kandy,January,Dry,"January is part of the drier period, with reduced rainfall. Travel is recommended due to more favorable weather conditions."
Kandy,February,Dry,"February continues the drier trend, making it suitable for outdoor activities. Travel is recommended."
Kandy,March,Dry,"March remains relatively dry, providing good conditions for sightseeing. Travel is recommended."
Kandy,April,Dry,"April is the warmest month, with average temperatures around 24.7°C. Rainfall begins to increase, but conditions are still favorable. Travel is recommended."
Kandy,May,Wet,"May marks the onset of the monsoon season, leading to increased rainfall. Travel is moderately recommended, but be prepared for frequent showers."
Kandy,June,Wet,June experiences significant rainfall. Travel is not recommended due to the wet conditions.
Kandy,July,Wet,"July continues the monsoon season with persistent rainfall. Travel is not recommended due to wet conditions. However, the Kandy Esala Perahera begins on July 30, 2025, offering a unique cultural experience. Attendees should be prepared for rainy weather."
Kandy,August,Wet,"August remains wet, affecting outdoor activities. Travel is not recommended due to the monsoon season. Nonetheless, the Kandy Esala Perahera concludes on August 9, 2025. Visitors attending the festival should anticipate rainy conditions."
Kandy,September,Wet,September sees continued rainfall. Travel is not recommended.
Kandy,October,Wet,"October is the wettest month, with significant rainfall. Travel is not recommended."
Kandy,November,Wet,November experiences heavy rainfall. Travel is not recommended.
Kandy,December,Wet,"December continues the wet trend, though rainfall starts to decrease. Travel is moderately recommended, but be prepared for occasional rain."
Kataragama,January,Dry,"January experiences minimal rainfall, making it one of the best months to visit. Travel is highly recommended."
Kataragama,February,Dry,February continues the dry season with plenty of sunshine. Travel is highly recommended for outdoor and religious activities.
Kataragama,March,Dry,"March remains dry, providing ideal conditions for sightseeing and pilgrimages. Travel is highly recommended."
Kataragama,April,Dry,"April is warm and relatively dry, with occasional rain showers. Travel is recommended, but prepare for slightly warmer weather."
Kataragama,May,Wet,"May marks the onset of the wet season with increased rainfall. Travel is moderately recommended, but some outdoor activities may be disrupted."
Kataragama,June,Wet,June sees significant rainfall due to the southwest monsoon. Travel is not recommended as outdoor activities may be affected.
Kataragama,July,Wet,July continues the wet season with frequent rain. Travel is not recommended as conditions are less favorable for outdoor exploration.
Kataragama,August,Wet,"August remains wet with high humidity and rainfall. Travel is not recommended, though religious ceremonies might attract visitors."
